"Unnamed..0","Company","TypeName","Inches","ScreenResolution","Cpu","Ram","Memory","Gpu","OpSys","Weight","Price","Ram_Numeric"
298,"Lenovo","Notebook","15.6","Full HD 1920x1080","AMD A10-Series 9600P 2.4GHz","6GB","1TB HDD","AMD Radeon R5 430","Windows 10","2.4kg",26586.72,6
299,"Asus","Ultrabook","15.6","Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","16GB","512GB SSD","Nvidia GeForce 940MX","Windows 10","1.63kg",78215.04,16
300,"Asus","Notebook","14","1366x768","Intel Core i3 7100U 2.4GHz","4GB","128GB SSD","Intel HD Graphics 620","Windows 10","1.3kg",27119.52,4
301,"Asus","Gaming","17.3","Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","16GB","256GB SSD +  1TB HDD","Nvidia GeForce GTX 1070","Windows 10","2.9kg",113060.16,16
302,"Lenovo","Notebook","17.3","1600x900","Intel Core i5 7200U 2.5GHz","6GB","1TB HDD","Nvidia GeForce GTX 940M","Windows 10","5.8kg",34578.72,6
303,"Lenovo","Notebook","15.6","1366x768","Intel Core i5 7200U 2.5GHz","8GB","2TB HDD","Nvidia GeForce 940MX","No OS","2.2kg",29250.72,8
304,"Asus","Gaming","15.6","Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","8GB","128GB SSD +  1TB HDD","Nvidia GeForce GTX 1050 Ti","Windows 10","2.5kg",67399.2,8
305,"Lenovo","Notebook","15.6","1366x768","Intel Pentium Quad Core N4200 1.1GHz","4GB","1TB HDD","Intel HD Graphics 505","No OS","2.2kg",19180.2672,4
306,"HP","2 in 1 Convertible","13.3","Full HD / Touchscreen 1920x1080","Intel Core i7 7600U 2.8GHz","16GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.28kg",105228,16
307,"Toshiba","Notebook","15.6","IPS Panel Full HD 1920x1080","Intel Core i7 6500U 2.5GHz","8GB","256GB SSD","Nvidia GeForce 930M","Windows 10","2.2kg",55571.04,8
308,"Lenovo","Notebook","15.6","Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","128GB SSD +  1TB HDD","Nvidia GeForce 940MX","Windows 10","2.3kg",43636.32,8
309,"HP","Notebook","15.6","Full HD 1920x1080","Intel Core i3 6006U 2GHz","4GB","1TB HDD","Intel HD Graphics 520","Windows 10","1.86kg",24988.32,4
310,"Lenovo","Notebook","13.3","IPS Panel Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.1kg",53226.72,8
311,"Dell","Ultrabook","13.3","IPS Panel 4K Ultra HD / Touchscreen 3840x2160","Intel Core i7 8550U 1.8GHz","16GB","1TB SSD","Intel UHD Graphics 620","Windows 10","1.21kg",133146.72,16
312,"MSI","Gaming","15.6","IPS Panel Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","16GB","256GB SSD +  1TB HDD","Nvidia GeForce GTX 1070","Windows 10","2.8kg",111834.72,16
313,"Acer","Notebook","15.6","Full HD 1920x1080","AMD A8-Series 7410 2.2GHz","8GB","256GB SSD","AMD Radeon R5","Windows 10","2.23kg",24988.32,8
314,"Asus","2 in 1 Convertible","11.6","Touchscreen 1366x768","Intel Celeron Dual Core N3350 1.1GHz","2GB","32GB Flash Storage","Intel HD Graphics 500","Windows 10","1.1kg",14652,2
315,"Dell","Notebook","15.6","Full HD 1920x1080","Intel Core i5 8250U 1.6GHz","8GB","128GB SSD +  1TB HDD","AMD Radeon 530","Windows 10","2.33kg",44968.32,8
316,"HP","2 in 1 Convertible","13.3","IPS Panel 4K Ultra HD / Touchscreen 3840x2160","Intel Core i7 8550U 1.8GHz","16GB","1TB SSD","Intel UHD Graphics 620","Windows 10","1.29kg",130482.72,16
317,"Lenovo","Notebook","13.3","1366x768","Intel Celeron Dual Core 3855U 1.6GHz","4GB","16GB Flash Storage","Intel HD Graphics 510","Chrome OS","1.45kg",24503.472,4
318,"HP","Notebook","14","Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.95kg",52214.4,8
319,"Acer","Notebook","11.6","1366x768","Intel Pentium Quad Core N3710 1.6GHz","4GB","128GB Flash Storage","Intel HD Graphics 405","Windows 10","1.4kg",25840.8,4
320,"HP","Notebook","14","Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.48kg",68837.76,8
321,"Lenovo","Notebook","17.3","1600x900","Intel Core i5 7200U 2.5GHz","4GB","1TB HDD","Nvidia GeForce 920MX","Windows 10","2.79kg",31381.92,4
322,"Asus","Notebook","14","Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","2kg",58288.32,8
323,"HP","Notebook","15.6","IPS Panel Full HD 1366x768","Intel Core i7 8550U 1.8GHz","8GB","1TB HDD","Intel UHD Graphics 620","Windows 10","2.1kg",48058.56,8
324,"Acer","Notebook","15.6","1366x768","AMD A12-Series 9720P 2.7GHz","8GB","256GB SSD","AMD Radeon RX 540","Windows 10","2.2kg",35111.52,8
325,"Lenovo","Notebook","14","1366x768","Intel Celeron Dual Core N3350 1.1GHz","4GB","32GB Flash Storage","Intel HD Graphics 500","Windows 10","1.44kg",15557.76,4
326,"Acer","Notebook","15.6","1366x768","Intel Core i5 7200U 2.5GHz","6GB","1TB HDD","Intel HD Graphics 620","Windows 10","8.23kg",29250.72,6
327,"Asus","Ultrabook","15.6","Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","8GB","256GB SSD","Nvidia GeForce 940MX","Windows 10","1.7kg",55938.672,8
328,"HP","Ultrabook","12.5","Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.26kg",71128.8,8
329,"Dell","Notebook","15.6","4K Ultra HD / Touchscreen 3840x2160","Intel Core i7 7700HQ 2.8GHz","32GB","1TB SSD","Nvidia GeForce GTX 1050","Windows 10","2.06kg",140605.92,32
330,"MSI","Gaming","17.3","Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","8GB","256GB SSD +  1TB HDD","Nvidia GeForce GTX 1050 Ti","Windows 10","2.7kg",63882.72,8
331,"Toshiba","Notebook","15.6","IPS Panel Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","2.0kg",50243.04,8
332,"Asus","Notebook","14","Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","8GB","256GB SSD +  1TB HDD","Intel HD Graphics 620","Windows 10","2kg",71075.52,8
333,"Lenovo","Notebook","15.6","Full HD 1920x1080","Intel Core i3 6006U 2GHz","4GB","1TB HDD","Intel HD Graphics 520","Windows 10","1.85kg",23922.72,4
334,"Asus","Gaming","15.6","Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","8GB","256GB SSD","Nvidia GeForce GTX 1050","Windows 10","2.5kg",53226.72,8
335,"HP","Notebook","14","Full HD 1920x1080","Intel Core i5 7300U 2.6GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.48kg",67559.04,8
337,"HP","Notebook","15.6","Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.84kg",60952.32,8
338,"Asus","Notebook","15.6","1366x768","Intel Celeron Dual Core N3350 1.1GHz","4GB","1TB HDD","Intel HD Graphics 500","Linux","2kg",14651.4672,4
339,"Dell","Notebook","15.6","Full HD 1920x1080","Intel Core i5 8250U 1.6GHz","8GB","256GB SSD","Nvidia GeForce 940MX","Windows 10","2kg",60885.72,8
340,"Dell","Notebook","15.6","1366x768","Intel Celeron Dual Core N3060 1.6GHz","4GB","500GB HDD","Intel HD Graphics","Linux","2.2kg",14646.672,4
341,"Lenovo","Notebook","15.6","Full HD 1920x1080","AMD A12-Series 9720P 3.6GHz","12GB","2TB HDD","AMD Radeon 530","Windows 10","2.2kg",47898.72,12
342,"HP","Notebook","15.6","IPS Panel Full HD 1920x1080","Intel Core i3 7100U 2.4GHz","8GB","1TB HDD","Nvidia GeForce 930MX ","Windows 10","2.1kg",38148.48,8
343,"Lenovo","2 in 1 Convertible","13.9","IPS Panel 4K Ultra HD / Touchscreen 3840x2160","Intel Core i7 8550U 1.8GHz","16GB","512GB SSD","Intel UHD Graphics 620","Windows 10","1.4kg",111834.72,16
344,"Dell","Ultrabook","13.3","Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","8GB","256GB SSD","Intel UHD Graphics 620","Windows 10","1.2kg",84129.12,8
345,"Lenovo","Gaming","15.6","IPS Panel Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","16GB","256GB SSD +  2TB HDD","Nvidia GeForce GTX 1050 Ti","Windows 10","2.4kg",60153.12,16
346,"HP","Notebook","14","1366x768","Intel Celeron Dual Core N3060 1.6GHz","2GB","32GB Flash Storage","Intel HD Graphics 400","Windows 10","1.44kg",14865.12,2
347,"Dell","Ultrabook","15.6","Full HD 1920x1080","Intel Core i7 8650U 1.9GHz","16GB","512GB SSD +  256GB SSD","Intel UHD Graphics 620","Windows 10","1.88kg",85672.1088,16
348,"Asus","2 in 1 Convertible","11.6","Touchscreen 1366x768","Intel Celeron Dual Core N3350 1.1GHz","4GB","32GB Flash Storage","Intel HD Graphics 500","Windows 10","1.5kg",19980,4
349,"Dell","Ultrabook","15.6","Full HD 1920x1080","Intel Core i5 8250U 1.6GHz","8GB","1TB HDD","AMD Radeon 530","Windows 10","0.0002kg",35324.64,8
351,"HP","Notebook","15.6","Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.84kg",69477.12,8
352,"MSI","Gaming","17.3","Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","8GB","128GB SSD +  1TB HDD","Nvidia GeForce GTX 1060","Windows 10","2.7kg",75071.52,8
353,"HP","Workstation","15.6","Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","8GB","256GB SSD","Nvidia Quadro M1200","Windows 10","2.6kg",92615.0256,8
354,"Toshiba","Notebook","15.6","IPS Panel Full HD 1920x1080","Intel Core i7 6500U 2.5GHz","16GB","512GB SSD","Nvidia GeForce 930M","Windows 10","2.4kg",74751.84,16
355,"Dell","Notebook","15.6","Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","8GB","128GB SSD +  2TB HDD","AMD Radeon 530","Windows 10","2.02kg",51729.552,8
356,"Lenovo","Notebook","15.6","1366x768","Intel Celeron Dual Core N3350 1.1GHz","4GB","1TB HDD","Intel HD Graphics 500","No OS","2.2kg",17155.6272,4
357,"Dell","Gaming","15.6","Full HD 1920x1080","Intel Core i5 7300HQ 2.5GHz","8GB","1TB HDD","Nvidia GeForce GTX 1050","Windows 10","2.65kg",53226.72,8
358,"Dell","Notebook","15.6","Touchscreen 1366x768","Intel Core i5 7200U 2.5GHz","8GB","2TB HDD","Intel HD Graphics 620","Windows 10","2.36kg",29696.6736,8
359,"Dell","Notebook","14","Full HD 1920x1080","Intel Core i5 7300U 2.6GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.36kg",76030.56,8
360,"HP","Notebook","15.6","1366x768","Intel Core i3 6006U 2GHz","4GB","500GB HDD","Intel HD Graphics 520","Windows 10","1.86kg",23389.92,4
361,"Asus","Notebook","14","Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","2kg",50349.6,8
362,"Lenovo","Notebook","17.3","1600x900","Intel Core i5 7200U 2.5GHz","6GB","128GB SSD +  1TB HDD","Nvidia GeForce GTX 940MX","Windows 10","2.8kg",38308.32,6
363,"HP","Notebook","15.6","Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","1TB HDD","Intel HD Graphics 620","Windows 10","1.86kg",34045.92,8
364,"Lenovo","Notebook","15.6","1366x768","Intel Core i3 6006U 2GHz","8GB","256GB SSD","Nvidia GeForce 920MX ","No OS","2.2kg",26586.72,8
365,"HP","Notebook","15.6","1366x768","Intel Pentium Quad Core N3710 1.6GHz","8GB","2TB HDD","Intel HD Graphics 405","Windows 10","2.04kg",20725.92,8
366,"Dell","Notebook","17.3","Full HD 1920x1080","Intel Core i5 8250U 1.6GHz","8GB","128GB SSD +  1TB HDD","AMD Radeon 530","Windows 10","2.8kg",57808.8,8
367,"Lenovo","Gaming","15.6","IPS Panel Full HD 1920x1080","Intel Core i5 7300HQ 2.5GHz","8GB","128GB SSD +  1TB HDD","Nvidia GeForce GTX 1050","No OS","2.4kg",43103.52,8
368,"Dell","Notebook","15.6","Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","8GB","256GB SSD","AMD Radeon R7 M445","Windows 10","2.33kg",47898.72,8
369,"HP","Ultrabook","14","IPS Panel Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.36kg",93240,8
370,"Asus","2 in 1 Convertible","15.6","Full HD / Touchscreen 1920x1080","Intel Core i7 7500U 2.7GHz","12GB","512GB SSD +  2TB HDD","Nvidia GeForce GT 940MX","Windows 10","2.26kg",58554.72,12
371,"Acer","Notebook","15.6","1366x768","AMD A9-Series 9420 3GHz","4GB","128GB SSD","AMD Radeon R5","Windows 10","2.1kg",22697.28,4
372,"Asus","Gaming","17.3","IPS Panel Full HD 1920x1080","AMD Ryzen 1700 3GHz","16GB","256GB SSD +  1TB HDD","AMD Radeon RX 580","Windows 10","3.25kg",117162.72,16
373,"Lenovo","Notebook","17.3","1600x900","AMD A8-Series 7410 2.2GHz","4GB","128GB SSD","AMD Radeon R5","Windows 10","2.6kg",26053.92,4
374,"Dell","2 in 1 Convertible","13.3","Full HD / Touchscreen 1920x1080","Intel Core i7 8550U 1.8GHz","8GB","256GB SSD","Intel UHD Graphics 620","Windows 10","1.62kg",46300.8528,8
375,"HP","Notebook","15.6","Full HD 1920x1080","AMD A9-Series 9420 3GHz","4GB","256GB SSD","AMD Radeon R5","Windows 10","1.91kg",26053.3872,4
376,"Lenovo","Netbook","11.6","IPS Panel 1366x768","Intel Celeron Quad Core N3450 1.1GHz","4GB","128GB SSD","Intel HD Graphics 500","Windows 10","1.59kg",29463.84,4
377,"Dell","Notebook","15.6","1366x768","Intel Celeron Dual Core N3060 1.60GHz","4GB","500GB HDD","Intel HD Graphics 400","Windows 10","1.8kg",16463.52,4
378,"Asus","Notebook","14","1366x768","Intel Celeron Dual Core N3350 1.1GHz","4GB","32GB Flash Storage","Intel HD Graphics 500","Windows 10","1.5kg",15238.08,4
379,"Acer","Notebook","15.6","Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","8GB","1TB HDD","Nvidia GeForce GTX 1050","Linux","2.4kg",45074.88,8
380,"HP","Gaming","17.3","IPS Panel Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","8GB","128GB SSD +  1TB HDD","Nvidia GeForce GTX 1050","Windows 10","3.35kg",63456.48,8
381,"Lenovo","Notebook","15.6","Full HD 1920x1080","Intel Core i3 6006U 2GHz","4GB","128GB SSD","Intel HD Graphics 520","No OS","1.85kg",21498.48,4
382,"Asus","Gaming","15.6","IPS Panel Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","8GB","128GB SSD +  1TB HDD","Nvidia GeForce GTX 1060","Windows 10","2.3kg",88178.4,8
383,"Lenovo","Notebook","14","IPS Panel Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Nvidia GeForce 940MX","Windows 10","1.5kg",58554.72,8
384,"Asus","Ultrabook","13.3","Full HD / Touchscreen 1920x1080","Intel Core i7 7500U 2.7GHz","16GB","512GB SSD","Intel HD Graphics 620","Windows 10","1.1kg",93181.392,16
385,"Lenovo","Ultrabook","14","IPS Panel 2560x1440","Intel Core i7 7500U 2.7GHz","8GB","512GB SSD","Intel HD Graphics 620","Windows 10","1.13kg",121584.96,8
386,"Lenovo","Notebook","13.3","IPS Panel Full HD 1920x1080","Intel Core i3 7100U 2.4GHz","4GB","128GB SSD","Intel HD Graphics 620","Windows 10","1.5kg",29250.72,4
387,"Dell","Workstation","15.6","Full HD 1920x1080","Intel Core i5 6440HQ 2.6GHz","8GB","500GB HDD","AMD FirePro W5130M","Windows 10","2.23kg",72940.32,8
388,"Dell","Workstation","15.6","IPS Panel Full HD 1920x1080","Intel Core i7 6820HQ 2.7GHz","8GB","256GB SSD","Nvidia Quadro M1200","Windows 10","2kg",113752.8,8
389,"Lenovo","2 in 1 Convertible","14","Touchscreen 2560x1440","Intel Core i7 7500U 2.7GHz","16GB","512GB SSD","Intel HD Graphics 620","Windows 10","1.42kg",133679.52,16
390,"Asus","Gaming","17.3","Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","8GB","1TB HDD","Nvidia GeForce GTX 1050","Windows 10","3kg",55357.92,8
391,"Asus","Gaming","17.3","Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","16GB","256GB SSD +  1TB HDD","Nvidia GeForce GTX 1050 Ti","Windows 10","3kg",84768.48,16
392,"Acer","Notebook","15.6","IPS Panel 1366x768","Intel Core i5 8250U 1.6GHz","12GB","1TB HDD","Nvidia GeForce MX130","Windows 10","2.2kg",36975.7872,12
393,"MSI","Gaming","17.3","Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","8GB","256GB SSD","Nvidia GeForce GTX 1050 Ti","Windows 10","2.7kg",71874.72,8
394,"Dell","Notebook","15.6","Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","8GB","256GB SSD","AMD Radeon R7 M445","Linux","2.33kg",41498.1936,8
395,"HP","Ultrabook","15.6","Full HD 1920x1080","AMD A9-Series 9420 3GHz","4GB","256GB SSD","AMD Radeon 520","Windows 10","1.91kg",26586.72,4
396,"Lenovo","Notebook","15.6","IPS Panel Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","8GB","256GB SSD","AMD Radeon RX 550","Windows 10","2.1kg",65510.9568,8
397,"Lenovo","Notebook","14","IPS Panel Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.9kg",49976.64,8
398,"Dell","Workstation","15.6","4K Ultra HD / Touchscreen 3840x2160","Intel Core i7 7700HQ 2.8GHz","8GB","256GB SSD","Nvidia Quadro M1200","Windows 10","1.78kg",144495.36,8
399,"Lenovo","Ultrabook","14","IPS Panel 2560x1440","Intel Core i7 7500U 2.7GHz","16GB","1TB SSD","Intel HD Graphics 620","Windows 10","1.13kg",139860,16
400,"Lenovo","Notebook","15.6","1366x768","Intel Celeron Dual Core N3350 1.1GHz","4GB","1TB HDD","Intel HD Graphics 500","Windows 10","2.2kg",16303.68,4
401,"Asus","Gaming","17.3","Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","16GB","256GB SSD +  1TB HDD","Nvidia GeForce GTX 1050","Windows 10","2.9kg",81465.12,16
402,"Lenovo","Notebook","25.6","IPS Panel Full HD 1920x1080","Intel Core i5 8250U 1.6GHz","8GB","256GB SSD +  1TB HDD","AMD Radeon RX 550","Windows 10","2.1kg",60978.96,8
403,"Acer","Notebook","15.6","Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","8GB","256GB SSD","Nvidia GeForce GTX 1050","Linux","2.5kg",46833.12,8
404,"MSI","Gaming","17.3","Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","16GB","256GB SSD +  1TB HDD","Nvidia GeForce GTX 1070","Windows 10","2.8kg",119826.72,16
405,"Asus","Ultrabook","14","Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","8GB","512GB SSD","Intel HD Graphics 620","Windows 10","1.10kg",99793.44,8
406,"Toshiba","Ultrabook","13.3","Full HD 1920x1080","Intel Core i7 6500U 2.5GHz","16GB","512GB SSD","Intel HD Graphics 520","Windows 10","1.2kg",93080.16,16
407,"Dell","Ultrabook","14","Full HD 1920x1080","Intel Core i7 7600U 2.8GHz","8GB","512GB SSD","Intel HD Graphics","Windows 10","1.36kg",89510.4,8
408,"Lenovo","Notebook","35.6","Full HD 1920x1080","Intel Core i3 6006U 2GHz","4GB","500GB HDD","Intel HD Graphics 520","Windows 10","2.2kg",21791.52,4
409,"Lenovo","Notebook","11.6","1366x768","Intel Celeron Dual Core N3350 1.1GHz","2GB","32GB Flash Storage","Intel HD Graphics 500","Windows 10","1.15kg",16221.096,2
410,"Lenovo","Workstation","15.6","Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","8GB","512GB SSD","Nvidia Quadro M1200","Windows 10","2.67kg",102564,8
411,"Lenovo","Ultrabook","14","IPS Panel Full HD 2560x1440","Intel Core i7 7700HQ 2.8GHz","8GB","512GB SSD","Nvidia GeForce GT 940MX","Windows 10","1.7kg",103523.04,8
412,"HP","Notebook","15.6","Full HD 1920x1080","Intel Core i3 6006U 2GHz","4GB","1TB HDD","AMD Radeon 520","Windows 10","2.1kg",24988.32,4
413,"Acer","2 in 1 Convertible","13.3","IPS Panel Full HD / Touchscreen 1920x1080","Intel Core i7 6500U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 520","Windows 10","1.6kg",42038.4528,8
414,"Asus","2 in 1 Convertible","13.3","IPS Panel Full HD / Touchscreen 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.27kg",49443.84,8
415,"Dell","Notebook","15.6","Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","4GB","256GB SSD","AMD Radeon R5 M430","Linux","2.3kg",31909.392,4
416,"Dell","Notebook","13.3","1366x768","Intel Core i3 6006U 2GHz","4GB","128GB SSD","Intel HD Graphics 520","Windows 10","1.65kg",36709.92,4
417,"HP","Ultrabook","14","Full HD 1920x1080","Intel Core i7 6500U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 520","Windows 10","1.43kg",79920,8
418,"Dell","Notebook","15.6","1366x768","Intel Core i5 7200U 2.5GHz","8GB","1TB HDD","Intel HD Graphics 620","Windows 10","2.14kg",28768.536,8
419,"Lenovo","Ultrabook","14","IPS Panel Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","8GB","256GB SSD","AMD Radeon RX 550","Windows 10","1.75kg",64755.4464,8
420,"Lenovo","2 in 1 Convertible","15.6","IPS Panel 4K Ultra HD / Touchscreen 3840x2160","Intel Core i7 7700HQ 2.8GHz","16GB","512GB SSD","Nvidia GeForce GTX 1050","Windows 10","2kg",101178.72,16
421,"Chuwi","Notebook","12.3","IPS Panel Retina Display 2736x1824","Intel Celeron Quad Core N3450 1.1GHz","6GB","64GB Flash Storage","Intel HD Graphics 500","Windows 10","1.4kg",23922.72,6
422,"HP","Notebook","15.6","Full HD 1920x1080","Intel Core i7 7820HQ 2.9GHz","8GB","256GB SSD","Intel HD Graphics 630","Windows 10","2.31kg",76030.56,8
423,"Asus","Notebook","35.6","Full HD 1920x1080","Intel Core i3 7100U 2.4GHz","8GB","1TB HDD","Nvidia GeForce 940MX","Linux","2.3kg",31808.16,8
424,"Dell","Gaming","27.3","IPS Panel 2560x1440","Intel Core i7 7820HK 2.9GHz","16GB","256GB SSD +  1TB HDD","Nvidia GeForce GTX 1070","Windows 10","4.42kg",149130.72,16
425,"Dell","Gaming","15.6","IPS Panel Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","8GB","128GB SSD +  1TB HDD","Nvidia GeForce GTX 1050 Ti","Windows 10","2.62kg",61751.52,8
426,"Dell","Notebook","15.6","Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","8GB","256GB SSD +  2TB HDD","AMD Radeon 530","Windows 10","2.02kg",60867.072,8
427,"Dell","Ultrabook","14","Full HD 1920x1080","Intel Core i7 7600U 2.8GHz","8GB","256GB SSD","Intel HD Graphics 620","Linux","1.6kg",58554.72,8
428,"HP","Gaming","17.3","Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","12GB","256GB SSD +  1TB HDD","Nvidia GeForce GTX 1070","Windows 10","3.35kg",106506.72,12
429,"Mediacom","2 in 1 Convertible","11.6","IPS Panel Full HD / Touchscreen 1920x1080","Intel Celeron Dual Core N3350 1.1GHz","4GB","32GB SSD","Intel HD Graphics 500","Windows 10","1.16kg",15930.72,4
430,"Samsung","Netbook","11.6","1366x768","Intel Celeron Dual Core N3060 1.6GHz","4GB","16GB Flash Storage","Intel HD Graphics 400","Chrome OS","1.15kg",14332.32,4
431,"Lenovo","Notebook","13.3","IPS Panel Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.4kg",53812.8,8
432,"Lenovo","Notebook","14","IPS Panel Full HD 1920x1080","Intel Core i3 7130U 2.7GHz","4GB","128GB SSD","Intel HD Graphics 620","Windows 10","1.7kg",31914.72,4
433,"Lenovo","Workstation","15.6","IPS Panel 4K Ultra HD 3840x2160","Intel Core i7 7600U 2.8GHz","16GB","512GB SSD","Nvidia GeForce 940MX","Windows 10","2.3kg",130269.6,16
434,"Lenovo","Notebook","15.6","Full HD 1920x1080","Intel Core i7 7820HQ 2.9GHz","16GB","512GB SSD","Nvidia Quadro M2200M","Windows 10","2.5kg",130482.72,16
435,"Asus","Gaming","17.3","Full HD 1920x1080","AMD Ryzen 1600 3.2GHz","8GB","256GB SSD +  1TB HDD","AMD Radeon RX 580","Windows 10","3.2kg",90309.6,8
436,"HP","Notebook","15.6","1366x768","Intel Celeron Dual Core N3060 1.6GHz","4GB","500GB HDD","Intel HD Graphics 400","Windows 10","2.1kg",18488.16,4
437,"Google","Ultrabook","12.3","Touchscreen 2400x1600","Intel Core i7 7Y75 1.3GHz","16GB","512GB SSD","Intel HD Graphics 615","Chrome OS","1.1kg",117162.72,16
438,"Lenovo","Ultrabook","24","2560x1440","Intel Core i7 7500U 2.7GHz","24GB","512GB SSD","Intel HD Graphics 620","Windows 10","1.32kg",126912.96,24
439,"Asus","Notebook","15.6","Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","4GB","256GB SSD","Intel HD Graphics 620","Linux","2kg",29783.52,4
440,"Lenovo","Notebook","17.3","1600x900","AMD A6-Series 9220 2.5GHz","8GB","1TB HDD","AMD Radeon R4","Windows 10","2.8kg",27652.32,8
441,"Dell","Notebook","15.6","Full HD 1920x1080","Intel Core i5 8250U 1.6GHz","4GB","256GB SSD","AMD Radeon 530","Windows 10","2.2kg",39906.72,4
442,"Lenovo","Ultrabook","12.5","IPS Panel Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.36kg",76137.12,8
443,"Lenovo","Notebook","15.6","Full HD 1920x1080","Intel Pentium Quad Core N4200 1.1GHz","4GB","128GB SSD","Intel HD Graphics 505","Windows 10","2.2kg",18594.72,4
444,"HP","Gaming","15.6","IPS Panel Full HD 1920x1080","Intel Core i7 7700HQ 2.8GHz","8GB","128GB SSD +  1TB HDD","Nvidia GeForce GTX 1050","Windows 10","2.2kg",58554.72,8
445,"Dell","Notebook","14","Full HD 1920x1080","Intel Core i5 7440HQ 2.8GHz","8GB","256GB SSD","Nvidia GeForce 930MX","Windows 10","1.64kg",62817.12,8
446,"Acer","Notebook","15.6","1366x768","Intel Core i5 7200U 2.5GHz","4GB","500GB HDD","Intel HD Graphics 620","Linux","2.4kg",23539.104,4
447,"Dell","Workstation","15.6","Full HD 1920x1080","Intel Xeon E3-1505M V6 3GHz","8GB","64GB Flash Storage +  1TB HDD","Nvidia Quadro M620","Windows 10","2.23kg",106187.04,8
448,"MSI","Gaming","15.6","Full HD 1920x1080","Intel Core i5 7300HQ 2.5GHz","8GB","256GB SSD","Nvidia GeForce GTX 1050","Windows 10","2.2kg",54757.9872,8
